Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 309,17031030900,3126,60660,17031030900,0.002062837,0.006511628,0.005934718,0.00277198
Census tract,Tract 310,17031031000,3907,60640,17031031000,0.054398586,0.069561721,0.077543318,0.058000042
Census tract,Tract 311,17031031100,4720,60640,17031031100,0.098018427,0.120225171,0.107222508,0.10029
Census tract,Tract 312,17031031200,6359,60640,17031031200,0.081913417,0.10615199,0.071710413,0.081930275
Census tract,Tract 313,17031031300,7775,60640,17031031300,0.111876814,0.017289908,0.051466804,0.099622374
Census tract,Tract 314,17031031400,4964,60613,17031031400,0.115996112,0.029456577,0.044061303,0.099086625
Census tract,Tract 314,17031031400,4964,60640,17031031400,0.000151458,0.010856454,0.00085778,0.000792806
Census tract,Tract 315.01,17031031501,4474,60640,17031031501,0.061138458,0.019702453,0.029507634,0.055141766
Census tract,Tract 315.02,17031031502,4628,60613,17031031502,0.005832732,0.006602336,0.003420909,0.005441384
Census tract,Tract 315.02,17031031502,4628,60640,17031031502,0.066666667,0.02291918,0.053182364,0.06275688
Census tract,Tract 317,17031031700,6785,60613,17031031700,0.001944244,0.0,0.003831418,0.00218627
Census tract,Tract 317,17031031700,6785,60640,17031031700,0.095771804,0.074386811,0.140332819,0.100081367
Census tract,Tract 318,17031031800,1889,60640,17031031800,0.027363372,0.043425814,0.033453423,0.028937431
Census tract,Tract 319,17031031900,2558,60613,17031031900,0.001912885,0.009649568,0.003284072,0.002526357
Census tract,Tract 319,17031031900,2558,60640,17031031900,0.032437208,0.04624045,0.058843712,0.036364774
Census tract,Tract 321,17031032100,7106,60613,17031032100,0.145473361,0.081259523,0.119458128,0.137783608
Census tract,Tract 401,17031040100,4139,60625,17031040100,0.040704905,0.030881017,0.038702492,0.039854559
Census tract,Tract 401,17031040100,4139,60640,17031040100,0.01226808,0.011258544,0.013724481,0.012392815
Census tract,Tract 401,17031040100,4139,60659,17031040100,0.0,0.000453309,0.0,4.3727e-05
Census tract,Tract 401,17031040100,4139,60660,17031040100,0.0,0.000930233,0.000228258,6.5223e-05
Census tract,Tract 402.01,17031040201,6814,60625,17031040201,0.139434014,0.218891916,0.11179173,0.138877084
Census tract,Tract 402.02,17031040202,7634,60625,17031040202,0.091934848,0.053133515,0.089377697,0.089483874
Census tract,Tract 402.02,17031040202,7634,60659,17031040202,0.012184454,0.000906618,0.00772698,0.010188465
Census tract,Tract 403,17031040300,2953,60625,17031040300,0.033061361,0.021798365,0.032716135,0.032417245
Census tract,Tract 404.01,17031040401,3250,60625,17031040401,0.042494464,0.042234332,0.049004594,0.043585021
Census tract,Tract 404.02,17031040402,5154,60625,17031040402,0.028481301,0.028156222,0.023666992,0.02764792
Census tract,Tract 404.02,17031040402,5154,60640,17031040402,0.045513063,0.023321271,0.071024189,0.047464063
Census tract,Tract 406,17031040600,2607,60625,17031040600,0.038248051,0.088101726,0.044131978,0.041837843
Census tract,Tract 407,17031040700,3435,60625,17031040700,0.049592041,0.069028156,0.059585132,0.052297304
Census tract,Tract 408,17031040800,1691,60618,17031040800,0.000959982,0.003891051,0.00119781,0.001189768
