Layer,Name,GEOID,Population
Census tract,Tract 8305,17031830500,3901
Census tract,Tract 8306,17031830600,4733
Census tract,Tract 8307,17031830700,3814
Census tract,Tract 8308,17031830800,2522
Census tract,Tract 8309,17031830900,2993
Census tract,Tract 8310,17031831000,2177
Census tract,Tract 8311,17031831100,8537
Census tract,Tract 8312,17031831200,4704
Census tract,Tract 8313,17031831300,995
Census tract,Tract 8314,17031831400,3026
Census tract,Tract 8315,17031831500,3656
Census tract,Tract 8316,17031831600,8039
Census tract,Tract 8317,17031831700,2459
Census tract,Tract 8318,17031831800,6493
Census tract,Tract 8319,17031831900,3228
Census tract,Tract 8320,17031832000,1621
Census tract,Tract 8321,17031832100,3602
Census tract,Tract 8322,17031832200,3180
Census tract,Tract 8323,17031832300,1938
Census tract,Tract 8324,17031832400,3129
Census tract,Tract 8325,17031832500,3390
Census tract,Tract 8326,17031832600,3918
Census tract,Tract 8329,17031832900,2082
Census tract,Tract 8330,17031833000,4480
Census tract,Tract 8331,17031833100,7436
Census tract,Tract 8333,17031833300,2728
Census tract,Tract 8339,17031833900,2650
Census tract,Tract 8340,17031834000,3104
Census tract,Tract 8342,17031834200,4914
Census tract,Tract 8343,17031834300,5980
Census tract,Tract 8344,17031834400,4437
Census tract,Tract 8345,17031834500,1105
Census tract,Tract 8346,17031834600,1681
Census tract,Tract 8347,17031834700,1258
Census tract,Tract 8348,17031834800,1589
Census tract,Tract 8349,17031834900,1443
Census tract,Tract 8350,17031835000,5585
Census tract,Tract 8351,17031835100,5047
Census tract,Tract 8352,17031835200,1993
Census tract,Tract 8355,17031835500,1434
Census tract,Tract 8356,17031835600,896
Census tract,Tract 8357,17031835700,434
Census tract,Tract 8358,17031835800,1744
Census tract,Tract 8359,17031835900,3112
Census tract,Tract 8360,17031836000,2824
Census tract,Tract 8361,17031836100,1897
Census tract,Tract 8362,17031836200,1492
Census tract,Tract 8363,17031836300,1513
Census tract,Tract 8364,17031836400,3787
Census tract,Tract 8365,17031836500,1963
Census tract,Tract 8366,17031836600,2337
Census tract,Tract 8367,17031836700,2308
Census tract,Tract 8368,17031836800,2397
Census tract,Tract 8369,17031836900,1163
Census tract,Tract 8370,17031837000,1804
Census tract,Tract 8371,17031837100,1319
Census tract,Tract 8373,17031837300,2762
Census tract,Tract 8374,17031837400,2259
Census tract,Tract 8378,17031837800,2627
Census tract,Tract 8380,17031838000,2589
Census tract,Tract 8381,17031838100,1614
Census tract,Tract 8382,17031838200,2058
Census tract,Tract 8383,17031838300,1710
Census tract,Tract 8386,17031838600,1728
Census tract,Tract 8387,17031838700,3934
Census tract,Tract 8388,17031838800,3300
Census tract,Tract 8390,17031839000,9209
Census tract,Tract 8391,17031839100,7545
Census tract,Tract 8392,17031839200,2405
Census tract,Tract 8395,17031839500,1461
Census tract,Tract 8396,17031839600,1653
Census tract,Tract 8397,17031839700,4913
Census tract,Tract 8398,17031839800,2738
Census tract,Tract 8399,17031839900,4452
Census tract,Tract 8400,17031840000,2794
Census tract,Tract 8401,17031840100,3508
Census tract,Tract 8402,17031840200,2419
Census tract,Tract 8403,17031840300,3511
Census tract,Tract 8404,17031840400,3106
Census tract,Tract 8407,17031840700,3592
Census tract,Tract 8408,17031840800,3151
Census tract,Tract 8410,17031841000,1043
Census tract,Tract 8411,17031841100,7142
Census tract,Tract 8412,17031841200,4586
Census tract,Tract 8413,17031841300,4122
Census tract,Tract 8414,17031841400,897
Census tract,Tract 8415,17031841500,2689
Census tract,Tract 8416,17031841600,579
Census tract,Tract 8417,17031841700,1651
Census tract,Tract 8418,17031841800,2428
Census tract,Tract 8419,17031841900,6539
Census tract,Tract 8420,17031842000,3164
Census tract,Tract 8421,17031842100,7865
Census tract,Tract 8422,17031842200,3362
Census tract,Tract 8423,17031842300,3199
Census tract,Tract 8424,17031842400,3082
Census tract,Tract 8425,17031842500,2052
Census tract,Tract 8426,17031842600,4313
Census tract,Tract 8428,17031842800,7068
Census tract,Tract 8429,17031842900,2556
Census tract,Tract 8430,17031843000,2457
Census tract,Tract 8431,17031843100,1575
Census tract,Tract 8432,17031843200,2375
Census tract,Tract 8433,17031843300,1877
Census tract,Tract 8434,17031843400,1310
Census tract,Tract 8435,17031843500,10169
Census tract,Tract 8436,17031843600,2898
Census tract,Tract 8437,17031843700,2527
Census tract,Tract 8438,17031843800,1520
Census tract,Tract 8439,17031843900,3430
Census tract,Tract 9800,17031980000,0
Census tract,Tract 9801,17031980100,0
Census tract,Tract 8400,17043840000,2812
Census tract,Tract 8408.01,17043840801,2592
