Layer,Name,GEOID,Population
Census tract,Tract 1203,17031120300,6892
Census tract,Tract 1204,17031120400,3727
Census tract,Tract 1301,17031130100,5341
Census tract,Tract 1302,17031130200,1571
Census tract,Tract 1303,17031130300,5509
Census tract,Tract 1401,17031140100,3194
Census tract,Tract 1402,17031140200,6514
Census tract,Tract 1403.01,17031140301,2839
Census tract,Tract 1403.02,17031140302,4189
Census tract,Tract 1404,17031140400,5978
Census tract,Tract 1405,17031140500,3920
Census tract,Tract 1406.01,17031140601,2886
Census tract,Tract 1406.02,17031140602,5003
Census tract,Tract 1407.01,17031140701,3028
Census tract,Tract 1407.02,17031140702,5882
Census tract,Tract 1408,17031140800,6373
Census tract,Tract 1502,17031150200,7753
Census tract,Tract 1503,17031150300,7862
Census tract,Tract 1504.01,17031150401,4909
Census tract,Tract 1504.02,17031150402,3817
Census tract,Tract 1505.01,17031150501,3903
Census tract,Tract 1505.02,17031150502,4339
Census tract,Tract 1506,17031150600,4063
Census tract,Tract 1507,17031150700,4040
Census tract,Tract 1508,17031150800,4814
Census tract,Tract 1510.01,17031151001,2803
Census tract,Tract 1510.02,17031151002,4892
Census tract,Tract 1511,17031151100,5335
Census tract,Tract 1512,17031151200,3616
Census tract,Tract 1601,17031160100,2537
Census tract,Tract 1602,17031160200,3023
Census tract,Tract 1603,17031160300,3524
Census tract,Tract 1604,17031160400,4734
Census tract,Tract 1605.01,17031160501,4019
Census tract,Tract 1605.02,17031160502,3729
Census tract,Tract 1606.01,17031160601,3362
Census tract,Tract 1606.02,17031160602,3735
Census tract,Tract 1607,17031160700,5811
Census tract,Tract 1608,17031160800,5459
Census tract,Tract 1609,17031160900,2535
Census tract,Tract 1610,17031161000,2171
Census tract,Tract 1611,17031161100,2038
Census tract,Tract 1612,17031161200,3121
Census tract,Tract 1613,17031161300,3732
Census tract,Tract 1701,17031170100,1931
Census tract,Tract 1702,17031170200,3754
Census tract,Tract 1703,17031170300,5338
Census tract,Tract 1704,17031170400,4189
Census tract,Tract 1705,17031170500,5519
Census tract,Tract 1706,17031170600,2487
Census tract,Tract 1707,17031170700,3295
Census tract,Tract 1708,17031170800,4099
Census tract,Tract 1709,17031170900,1943
Census tract,Tract 1710,17031171000,6877
Census tract,Tract 1711,17031171100,4013
Census tract,Tract 1801,17031180100,6228
Census tract,Tract 1901,17031190100,2453
Census tract,Tract 1902,17031190200,5838
Census tract,Tract 1903,17031190300,5518
Census tract,Tract 1904.01,17031190401,4394
Census tract,Tract 1904.02,17031190402,5385
Census tract,Tract 1906.01,17031190601,4976
Census tract,Tract 1906.02,17031190602,5123
Census tract,Tract 1907.01,17031190701,2735
Census tract,Tract 1907.02,17031190702,5056
Census tract,Tract 1908,17031190800,6951
Census tract,Tract 1909,17031190900,2235
